Tag,Word,Freq,Pos,Neg,Neu
GEN,feel like,0.002048857368006304,0.07692307692307693,0.5384615384615384,0.38461538461538464
GEN,felt like,0.00047281323877068556,0.3333333333333333,0.6666666666666666,0.0
GEN,everyone else,0.00031520882584712374,0.0,1.0,0.0
GEN,even though,0.00031520882584712374,0.5,0.0,0.5
GEN,first day,0.00031520882584712374,0.0,0.0,1.0
GEN,really like,0.00031520882584712374,1.0,0.0,0.0
GEN,like maybe,0.00031520882584712374,0.0,0.0,1.0
GEN,guys like,0.00047281323877068556,0.0,0.0,1.0
GEN,like use,0.00031520882584712374,0.5,0.0,0.5
GEN,maybe like,0.00047281323877068556,0.0,0.3333333333333333,0.6666666666666666
GEN,sitting next,0.00031520882584712374,0.0,0.5,0.5
GEN,asking questions,0.00047281323877068556,0.3333333333333333,0.3333333333333333,0.3333333333333333
GEN,gonna get,0.00031520882584712374,0.5,0.5,0.0
GEN,generally like,0.00031520882584712374,0.0,0.5,0.5
GEN,really want,0.00031520882584712374,0.0,0.5,0.5
GEN,study groups,0.00031520882584712374,1.0,0.0,0.0
GEN,one group,0.00031520882584712374,0.0,0.0,1.0
GEN,regard like,0.00031520882584712374,1.0,0.0,0.0
GEN,study alone,0.00047281323877068556,0.3333333333333333,0.0,0.6666666666666666
GEN,tv shows,0.00031520882584712374,0.0,0.0,1.0
GEN,like gender,0.00031520882584712374,0.0,0.0,1.0
GEN,always question,0.00031520882584712374,0.0,1.0,0.0
GEN,felt less,0.00031520882584712374,0.0,1.0,0.0
GEN,less comfortable,0.00031520882584712374,0.0,1.0,0.0
GEN,like male,0.00031520882584712374,0.0,1.0,0.0
GEN,male colleagues,0.00031520882584712374,0.0,0.5,0.5
GEN,like five,0.00031520882584712374,0.0,0.0,1.0
GEN,gender thing,0.00031520882584712374,0.0,0.5,0.5
GEN,friends prefer,0.00031520882584712374,0.0,0.0,1.0
GEN,use like,0.0006304176516942475,0.25,0.5,0.25
GEN,like female,0.00031520882584712374,0.0,0.5,0.5
GEN,study group,0.00047281323877068556,0.6666666666666666,0.0,0.3333333333333333
GEN,study rooms,0.00031520882584712374,0.0,1.0,0.0
GEN,mentioned something,0.00031520882584712374,0.0,0.0,1.0
GEN,person likes,0.00031520882584712374,0.0,1.0,0.0
GEN,really know,0.00031520882584712374,0.0,1.0,0.0
GEN,lecture hall,0.00047281323877068556,0.0,0.0,1.0
GEN,last summer,0.00031520882584712374,0.0,0.5,0.5
GEN,comfortable sitting,0.00031520882584712374,0.0,0.0,1.0
GEN,really see,0.00031520882584712374,0.0,0.5,0.5
GEN,sit next,0.00031520882584712374,0.0,1.0,0.0
GEN,senior year,0.00031520882584712374,0.0,1.0,0.0
GEN,hey need,0.00031520882584712374,0.0,1.0,0.0
GEN,like may,0.00031520882584712374,0.0,0.0,1.0
GEN,computer science,0.0015760441292356187,0.3,0.4,0.3
GEN,female friends,0.00031520882584712374,0.5,0.5,0.0
GEN,science classes,0.00047281323877068556,0.3333333333333333,0.6666666666666666,0.0
GEN,women tend,0.00031520882584712374,0.5,0.5,0.0
GEN,engineering clubs,0.00031520882584712374,0.5,0.0,0.5
GEN,capstone project,0.00031520882584712374,0.0,1.0,0.0
GEN,male student,0.00047281323877068556,0.0,0.6666666666666666,0.3333333333333333
GEN,one project,0.00047281323877068556,0.0,1.0,0.0
GEN,leadership role,0.00047281323877068556,0.0,0.3333333333333333,0.6666666666666666
GEN,leadership position,0.0006304176516942475,0.0,1.0,0.0
GEN,fell back,0.00031520882584712374,0.0,1.0,0.0
GEN,could help,0.00031520882584712374,0.5,0.5,0.0
GEN,one task,0.00031520882584712374,0.0,1.0,0.0
GEN,never really,0.00031520882584712374,0.0,1.0,0.0
GEN,really heard,0.00031520882584712374,0.0,1.0,0.0
GEN,heard back,0.00031520882584712374,0.0,1.0,0.0
GEN,group projects,0.00031520882584712374,0.0,1.0,0.0
GEN,high school,0.00031520882584712374,0.5,0.0,0.5
GEN,compsci major,0.00031520882584712374,0.0,1.0,0.0
GEN,earn respect,0.00031520882584712374,0.0,0.5,0.5
GEN,go suck,0.00047281323877068556,0.0,1.0,0.0
GEN,pretty accepted,0.00031520882584712374,0.0,1.0,0.0
GEN,white people,0.00031520882584712374,0.0,0.0,1.0
GEN,little better,0.00031520882584712374,0.0,0.0,1.0
GEN,group project,0.00031520882584712374,0.0,1.0,0.0
GEN,one want,0.00031520882584712374,0.0,0.5,0.5
GEN,many women,0.00031520882584712374,0.0,1.0,0.0
GEN,work ethic,0.00031520882584712374,1.0,0.0,0.0
GEN,whole lot,0.00031520882584712374,1.0,0.0,0.0
RAC,would say,0.0025343953656770456,0.14285714285714285,0.5714285714285714,0.2857142857142857
RAC,something like,0.0010861694424330196,0.0,1.0,0.0
RAC,like people,0.000724112961622013,0.5,0.5,0.0
RAC,think like,0.000724112961622013,0.0,0.0,1.0
RAC,thing like,0.0010861694424330196,0.0,1.0,0.0
RAC,little bit,0.000724112961622013,0.0,0.5,0.5
RAC,like okay,0.000724112961622013,1.0,0.0,0.0
RAC,feel like,0.001448225923244026,0.0,0.75,0.25
RAC,even though,0.000724112961622013,0.0,0.5,0.5
RAC,first day,0.000724112961622013,0.0,0.0,1.0
RAC,kinda like,0.000724112961622013,0.0,0.0,1.0
RAC,stuff like,0.000724112961622013,0.0,0.5,0.5
RAC,study groups,0.000724112961622013,1.0,0.0,0.0
RAC,regard like,0.000724112961622013,1.0,0.0,0.0
RAC,use like,0.0010861694424330196,0.3333333333333333,0.3333333333333333,0.3333333333333333
RAC,study group,0.000724112961622013,1.0,0.0,0.0
RAC,different languages,0.000724112961622013,0.0,0.0,1.0
RAC,different cultures,0.0010861694424330196,0.0,0.0,1.0
RAC,many spanish,0.0010861694424330196,0.0,1.0,0.0
RAC,spanish people,0.0010861694424330196,0.0,1.0,0.0
RAC,unspoken thing,0.000724112961622013,0.0,1.0,0.0
RAC,racial diversity,0.000724112961622013,0.5,0.0,0.5
RAC,white people,0.0010861694424330196,0.0,0.3333333333333333,0.6666666666666666
RAC,little better,0.000724112961622013,0.0,0.0,1.0
RAC,skin color,0.001448225923244026,0.0,1.0,0.0
RAC,make sure,0.000724112961622013,0.0,0.0,1.0
PEER,would say,0.0023584905660377358,0.47058823529411764,0.4117647058823529,0.11764705882352941
PEER,like even,0.000416204217536071,0.6666666666666666,0.3333333333333333,0.0
PEER,something like,0.0002774694783573807,0.0,1.0,0.0
PEER,like people,0.0005549389567147614,0.25,0.5,0.25
PEER,oh yeah,0.0005549389567147614,0.5,0.5,0.0
PEER,people would,0.0002774694783573807,0.0,1.0,0.0
PEER,big thing,0.0002774694783573807,0.0,1.0,0.0
PEER,thing like,0.000416204217536071,0.0,1.0,0.0
PEER,everybody else,0.0002774694783573807,0.0,1.0,0.0
PEER,little bit,0.0005549389567147614,0.25,0.5,0.25
PEER,would like,0.0002774694783573807,0.5,0.0,0.5
PEER,another person,0.0002774694783573807,0.5,0.0,0.5
PEER,need help,0.0002774694783573807,0.5,0.0,0.5
PEER,whole bunch,0.0002774694783573807,0.5,0.5,0.0
PEER,like okay,0.0002774694783573807,1.0,0.0,0.0
PEER,like one,0.000416204217536071,0.3333333333333333,0.0,0.6666666666666666
PEER,feel like,0.0023584905660377358,0.17647058823529413,0.35294117647058826,0.47058823529411764
PEER,felt like,0.0002774694783573807,0.0,1.0,0.0
PEER,everyone else,0.000416204217536071,0.0,1.0,0.0
PEER,even though,0.0002774694783573807,0.5,0.5,0.0
PEER,really like,0.0002774694783573807,0.5,0.5,0.0
PEER,kinda like,0.0002774694783573807,0.0,0.0,1.0
PEER,always feel,0.0002774694783573807,0.5,0.5,0.0
PEER,maybe like,0.0002774694783573807,0.0,0.0,1.0
PEER,sitting next,0.0002774694783573807,0.0,0.5,0.5
PEER,asking questions,0.000416204217536071,0.0,0.0,1.0
PEER,gonna get,0.0002774694783573807,0.5,0.5,0.0
PEER,really want,0.0002774694783573807,0.0,1.0,0.0
PEER,wait till,0.0002774694783573807,0.0,1.0,0.0
PEER,last minute,0.0002774694783573807,0.0,1.0,0.0
PEER,study groups,0.0002774694783573807,0.0,1.0,0.0
PEER,different things,0.0006936736958934517,0.0,0.6,0.4
PEER,different type,0.0002774694783573807,0.0,0.5,0.5
PEER,study alone,0.000416204217536071,0.0,0.3333333333333333,0.6666666666666666
PEER,tv shows,0.0002774694783573807,0.0,0.0,1.0
PEER,always question,0.0002774694783573807,0.0,1.0,0.0
PEER,felt less,0.0002774694783573807,0.0,1.0,0.0
PEER,less comfortable,0.0002774694783573807,0.0,1.0,0.0
